subjID,cond_dummy,condition,include,filter_var,b_comm_neutral,w_comm_neutral,b_comm_ses,w_comm_ses,b_comm_host,w_comm_host,b_comm_other,w_comm_other,b_pers_neutral,w_pers_neutral,b_pers_ses,w_pers_ses,b_pers_host,w_pers_host,b_pers_other,w_pers_other
A1AQQFJA,0,Control,1,1,43.88,64.38,70.33,32,65.17,37.17,78,69.75,53.63,60.25,27.67,31.33,43.5,39.33,78,69.75
A27O2IIL,0,Control,2,1,41.13,38.63,69.17,62.33,68.33,64,39,39.5,73.63,35.88,11.83,69.17,13.5,64.67,39,39.5
A11T4227,0,Control,1,1,31.38,46.25,36.83,11.67,16.67,8.17,50,45,40,51.25,26.67,10,11.67,10,50,45
AK3H5QRA,0,Control,3,0,33.88,56.88,71.5,17.17,72,16.17,68,27.5,45.13,48.13,34.33,26,33.33,21.83,68,27.5
A1DNJ17P,0,Control,1,1,37.88,45.13,20.33,19.17,36.67,27.17,54.75,48,54.5,36.88,9.33,25,23.33,41.5,54.75,48
A3PENQIO,0,Control,1,1,59.25,33.25,52,50,55,69,26.5,42.25,43.75,44.5,8.17,52.83,4.83,63.33,26.5,42.25
A1KK5PS8,0,Control,1,1,32.88,58.75,82.67,20.5,67,25,54.75,40.25,57.5,48.63,39.83,45.5,21.5,47.33,54.75,40.25
A1N4AZ1Q,0,Control,3,0,50,50,20.67,10.83,20.83,7.5,25,25,50,50,15,12.5,0,0,25,25
A6JOC24P,0,Control,1,0,48,54.88,72.5,18.17,68.17,55.33,73.5,59.5,57.25,61.88,22.5,18,24.33,43.83,73.5,59.5
ANMXMEB5,0,Control,1,1,31,49.5,89.83,31.5,87,40.67,72.75,60.5,34.5,60.25,58.67,38.67,54.83,34.67,72.75,60.5
AS1KP4SM,0,Control,1,1,49.75,55.88,85.67,32.5,88.33,46.67,82.75,69.25,71.63,68.13,29,46.17,52.67,64.33,82.75,69.25
A3EWTW55,0,Control,1,1,38.13,56.25,79.17,35,78.33,35.83,81.25,41.25,39.38,53.75,75,39.17,70,29.17,81.25,41.25
A13XXMDH,0,Control,1,0,28.75,53.13,76.33,11.17,65,27.17,56.25,64.75,56.75,48.75,45,24,37,43,56.25,64.75
AE6VVAOU,0,Control,1,0,50,55.63,26.67,13.33,30,43.33,73.75,48.75,43.75,47.5,18.33,13.33,24.17,26.67,73.75,48.75
A1VWLIXB,0,Control,1,0,42.25,77,75.67,37.33,83.83,39.67,73.75,48.5,37.38,69.5,84.5,30.33,84.83,30.67,73.75,48.5
A2X2OS8N,0,Control,1,1,41.75,51.63,49,37,60,28.33,36.75,16.75,38.63,51.63,27,18,43.67,19.67,36.75,16.75
A12LSQUV,0,Control,1,0,62.5,65.63,76.67,17.5,79.17,38.33,62.5,72.5,65.63,65.63,63.33,14.17,75.83,25.83,62.5,72.5
A323RBOH,0,Control,3,0,27.38,62,89,49.17,89.33,61.5,78.25,53.25,53.38,60,37.67,39.5,45.17,59.83,78.25,53.25
A1HK7CR7,0,Control,1,0,44.13,52.25,68.33,19.67,73,22.17,76,58.5,42.5,51.88,52.17,14.33,65,22,76,58.5
A2B8EAPA,0,Control,3,0,35.25,62.25,73.17,43.33,72.33,60.83,71,70,64.13,67.25,31.83,31.83,43.17,62.33,71,70
A1L3WKYT,0,Control,1,1,40.38,60.63,64.83,32.83,58.67,44.5,49.75,53.75,46,61.88,4.83,42,3.67,78.5,49.75,53.75
AUI3R928,0,Control,1,0,47.25,66.38,65.83,20.33,67.67,17.5,59.5,51,53.25,66,64.67,23.67,65.33,27.17,59.5,51
ACRTRQ23,0,Control,3,0,37.25,53,85,42.5,82.5,65.5,52.75,47.25,57,74.38,36.83,28.5,42,34.5,52.75,47.25
A2C1Z52F,0,Control,1,0,71.13,64.38,82,67.5,86.83,78,60.5,69.5,71,66.75,34.33,19.17,52.5,17.83,60.5,69.5
A2Z750U1,0,Control,3,0,15.5,31.88,10,2.17,7.33,16.83,50.5,32.75,24.63,40.13,8.17,11.83,16.33,10.5,50.5,32.75
A8EFYHEF,0,Control,1,1,18.75,68.13,64.17,20,50,23.33,77.5,52.75,48.88,58.25,12.5,16.67,23.33,34.33,77.5,52.75
A2KPT0PE,0,Control,1,1,45.63,58.13,37.5,10,40,12.5,66.25,60,58.13,60.63,30,20,23.33,7.5,66.25,60
ASZSCXEY,0,Control,3,0,19.5,44.25,58.33,15.67,50.5,22,65.25,27.75,49.5,50.75,8.17,15,20,9.33,65.25,27.75
A27GZN1J,0,Control,1,0,64,50.38,29.17,20.67,23.5,31.5,76.75,71.25,61.13,52.63,23.5,17.17,25.67,31,76.75,71.25
A2NZ7RMS,0,Control,1,1,49.88,45,51,45.17,51.83,52.5,91.5,55.25,30.88,63.75,96.83,15.17,100,17.17,91.5,55.25
A8YTY0RD,0,Control,1,1,57.13,52.13,76.67,44,85.67,52.67,88.5,53.5,73.25,53.75,18.33,54,13,67.67,88.5,53.5
A2BW6WD7,0,Control,1,1,13.25,25.5,61.67,60.33,72,23.83,50,50,53.63,54.25,15,66.33,9,52.83,50,50
A1I9ZBV7,0,Control,1,1,30.88,65.63,22.67,6.67,42,4.17,76.75,59.75,62.63,64.63,26.83,10,29.5,13.17,76.75,59.75
AAYL7UAX,0,Control,1,1,52.75,75.38,79.5,26.67,82.17,29.83,74.75,24.75,53,77.25,44.67,11.5,70.67,19.5,74.75,24.75
A3BUWQ5C,0,Control,1,0,3.88,29.75,63.5,29.67,72.17,20.67,65.25,8.75,51.63,11.88,13.67,12.5,15.5,6.67,65.25,8.75
A2WT6FV9,0,Control,1,1,13.75,58.75,63.33,0,73.33,5,65,45,27.5,61.25,16.67,11.67,30,25,65,45
