subjID,cond_dummy,condition,include,filter_var,b_comm_neutral,w_comm_neutral,b_comm_ses,w_comm_ses,b_comm_host,w_comm_host,b_comm_other,w_comm_other,b_pers_neutral,w_pers_neutral,b_pers_ses,w_pers_ses,b_pers_host,w_pers_host,b_pers_other,w_pers_other
AETIZKQN,1,Scarcity,1,1,41.13,61.25,66.67,39.5,58.33,38.33,78.5,46.5,43.25,62.13,71.33,36.67,68,38.17,78.5,46.5
A1S34BUF,1,Scarcity,2.3,0,61.25,69.25,44.67,47.67,48.33,59.67,72.75,74.75,65.75,59.38,43.67,47.67,52.67,54.83,72.75,74.75
A177EXEL,1,Scarcity,1,0,55.25,44.5,70.5,44.33,77.33,36.17,63,47.25,55.88,43.75,23.67,46,24.33,51.83,63,47.25
AZVXVFM7,1,Scarcity,1,0,49,54.5,57,32.67,58,29,51,52,51.25,43.88,41.67,40.17,43.83,39.33,51,52
A18LFH7X,1,Scarcity,1,0,45.75,50.63,52.17,41.67,61.33,33.17,77,63,57.13,65.5,48,42.17,47.67,44,77,63
A2AJ5QFN,1,Scarcity,1,1,35.13,45.63,64.17,17.33,56.83,22.33,55.75,40,38,47.63,24.17,25.33,29,21.67,55.75,40
A3J5KZUQ,1,Scarcity,2,1,47.13,52,53.83,37.17,45.67,52.17,52.25,53.25,55.63,53,62.33,34.5,58,41.17,52.25,53.25
A273DS7T,1,Scarcity,1,1,50.63,63.13,87.5,31.83,87.5,45,70,75,47.5,67.5,50,46.67,56.67,45,70,75
A3GLU2NR,1,Scarcity,3,0,55.63,48.5,53,54.67,47.83,40,65,63,51.13,41.13,50.33,57,66,54,65,63
A1CSDIX0,1,Scarcity,3,0,44.75,46.5,27.67,16.5,33.5,18.17,61.75,43,52,45.75,9.67,12.33,13.17,17.5,61.75,43
A3EHI7J2,1,Scarcity,2,0,27,29.13,37,36.83,41.17,31.33,48.25,3.25,20.63,10.5,4.5,10.5,19.33,1.83,48.25,3.25
ARHBT4K1,1,Scarcity,1,1,29.88,49.38,47.5,49.5,39.33,68.33,36,54,29.38,47.13,21,50.33,25.5,56.67,36,54
A1N16ZU0,1,Scarcity,1,1,43.38,56.13,68.5,40.17,80.17,51.5,74.25,48,48.5,53.75,39.17,37.83,50.67,43.17,74.25,48
ACJ6NSCI,1,Scarcity,1,1,36.38,87.25,85,39,87.33,43.17,73,68,58.13,71.25,56.17,48.83,66,60.33,73,68
A3P5WIW3,1,Scarcity,3,0,39.25,57,77.67,20.67,70,29.17,46.5,47.75,31.25,61,80.67,34,64,33.67,46.5,47.75
A5VESE1I,1,Scarcity,1,1,64.5,55.63,75,30.67,65.33,44.83,65.25,46.75,52.63,57.5,63.17,38.5,73.33,39.17,65.25,46.75
A2VYHR3S,1,Scarcity,1,0,36.25,47.88,39.83,26.83,43.5,25.33,50,47.5,50,48.88,8,4.17,12.5,4.33,50,47.5
