subjID,condition,b_comm_neutral,w_comm_neutral,b_comm_ses,w_comm_ses,b_comm_host,w_comm_host,b_comm_other,w_comm_other,b_pers_neutral,w_pers_neutral,b_pers_ses,w_pers_ses,b_pers_host,w_pers_host,b_pers_other,w_pers_other
s010077,Scarcity,38.125,73.25,71.33333333,13.83333333,67.16666667,19.33333333,65.66666667,52.66666667,41.63,63.25,62.83,31.83,56.33,35.67,75,52
s010078,Scarcity,44.375,60.875,66.66666667,34.16666667,53.83333333,36.5,84.33333333,55.66666667,35.25,73,37.17,34.5,47.5,42.67,79.33333333,66.33333333
s010079,Scarcity,35,49.125,79,28.83333333,79.33333333,68.5,72.33333333,53.66666667,54,54.63,40.5,38.33,40.5,45.5,43.33333333,56.66666667
s010080,Scarcity,25.375,59.375,78.66666667,25.5,69.83333333,16.5,68.33333333,50.33333333,52.38,48.13,43,53.17,30.17,54.5,66,23.66666667
s010081,Scarcity,59.625,51.625,62.66666667,24.16666667,71.33333333,37.5,81.66666667,22.33333333,61.88,52.5,22.17,22.17,26.67,27.5,72,37.33333333
s010082,Scarcity,18,69.125,81.5,29,77.66666667,36,80.66666667,32.33333333,45,58.5,41.5,38,46.5,44.83,79,50
s010083,Scarcity,40.625,59.375,85.5,34.83333333,84.83333333,28.33333333,50.33333333,59.33333333,47,58.88,68.17,28.17,71.83,26.5,37,66.66666667
s010084,Scarcity,22,26.875,75.5,48.5,84.83333333,38.16666667,75.33333333,34.66666667,34.63,28.88,52.83,35.67,62.83,39.67,70,41.33333333
s010085,Scarcity,37.5,50.75,55.83333333,50.66666667,60.33333333,50.83333333,61.33333333,51,6.13,4.75,7,5.67,5.17,4.83,6,5.333333333
s010086,Scarcity,29.625,61.25,75.16666667,44.33333333,75,55.83333333,59.33333333,33.33333333,55.88,57.63,16.67,19.5,20,23.33,57,50.66666667
s010087,Scarcity,30,73.25,75.33333333,21,83.66666667,25.66666667,68,25.33333333,53,51.5,21.67,47.67,37.83,67.17,44,45
s010088,Scarcity,46.375,59.875,45,10.83333333,45,12.83333333,67,42.66666667,51.5,52.5,13.67,17.17,15,8.5,65.33333333,35
s010089,Scarcity,33.5,51.75,80.66666667,12.83333333,84.66666667,13.66666667,78,32,51.5,50,47.17,20,48.67,23.17,50.66666667,54.66666667
s010090,Scarcity,55.25,67.375,21.5,15.33333333,29.5,15.83333333,65,32.66666667,60.63,64.25,17.5,12.83,17.5,14.33,61.66666667,35.66666667
s010091,Scarcity,33.375,51.875,80.16666667,57.83333333,72.83333333,73.83333333,70.33333333,44.33333333,59,56.5,3.83,52.67,5.67,57.67,81.66666667,50
s010092,Scarcity,25.875,65.625,81.33333333,23,88.66666667,55.16666667,92.33333333,53.33333333,24.88,48.25,69.83,43.17,82.83,68.67,84.66666667,59.33333333
s010093,Scarcity,36,50.375,70.83333333,15,59.83333333,24.5,76,12,43.75,50.13,4.5,29.17,0.83,25,39.66666667,19
s010094,Scarcity,23.375,55.875,93.16666667,31.83333333,92.16666667,31.83333333,85,17,44.63,55.25,56.5,53.33,49.33,39.5,60.33333333,33
s010095,Scarcity,49.5,63.75,70.83333333,16.83333333,72.16666667,24.66666667,86.66666667,78.33333333,44.38,59.5,61.67,17.5,65.17,15,88.33333333,62.33333333
s010096,Scarcity,34.5,61.625,66.5,14,62.83333333,29.66666667,93,17,40.25,54.25,15.33,42.83,24.67,61.17,88.33333333,32.33333333
s010097,Scarcity,49.5,69.25,40.83333333,9,29.33333333,8.666666667,71.33333333,28.66666667,49.25,68,28.67,17.33,29.67,11.17,68.66666667,46
s010098,Scarcity,62.5,65.625,46.66666667,25.83333333,43.33333333,26.66666667,90,46.66666667,66.25,73.75,24.17,20.83,22.5,13.33,86.66666667,46.66666667
s010099,Scarcity,64.25,65.125,39.83333333,17.16666667,40.16666667,22.66666667,80,72.66666667,74.38,66.25,14.83,23.5,17.67,24,91,81.33333333
s010100,Scarcity,60.5,62.5,10.16666667,7.333333333,23.66666667,11.16666667,57.66666667,41,65.88,66,6.17,3.67,6.67,16.67,54.66666667,23.66666667
s010101,Scarcity,41.625,63.875,88.16666667,13.66666667,74.66666667,12,61.66666667,47.66666667,60,37.25,24.83,50.83,22.5,82,59.66666667,37.33333333
s010102,Scarcity,56.125,70.125,36,28.5,37.33333333,32,75,43,66.13,79.25,5.83,19.33,9.17,19.17,70,26
s010103,Scarcity,31.25,71.875,76.66666667,23.33333333,80.83333333,21.66666667,86.66666667,33.33333333,33.75,73.13,40,19.17,48.33,21.67,83.33333333,36.66666667
s010104,Scarcity,30.625,27.125,88.83333333,27.5,84.16666667,44.83333333,98.66666667,0.333333333,37.75,32.38,5.33,27.5,22.33,38.17,26.33333333,21.66666667
s010105,Scarcity,49.375,63.875,73,10.5,78.5,10.16666667,69.66666667,70.66666667,52.63,63,8.17,14.33,9,14.67,77,63.66666667
s010106,Scarcity,48.25,71.25,65.5,3.333333333,87.83333333,24.16666667,93.33333333,8.666666667,57,72.75,18,28.33,29.67,30.83,90.66666667,47
s010107,Scarcity,33.25,79.125,97,34.16666667,94.83333333,45.33333333,85.33333333,29.66666667,75.75,66,30.33,37.67,11.83,31,79,33.66666667
s010108,Scarcity,40.375,61.25,33,2.333333333,66.66666667,7,45,61.66666667,55.63,62.5,10.83,3.5,13.5,16,60,57
s010109,Scarcity,22.375,51.125,87,3,88.83333333,31.5,82.66666667,43.66666667,16.5,60,88.33,48,97.67,37,79,58.33333333
s010110,Scarcity,25,74.375,80.16666667,19.16666667,87.5,30,68.66666667,21.66666667,25,71.25,52.5,6.33,63.33,26.33,58.66666667,16.66666667
s010111,Scarcity,25.125,67.625,100,19.66666667,95,9,33.66666667,4,25,70.88,83.17,29.33,82.17,11,37,7
s010112,Scarcity,36.5,60.625,100,0,100,0,0,20,16.88,45.63,14.17,0,9.17,0,0,0
s010113,Scarcity,12.25,77.5,99.83333333,0,100,0,100,50.66666667,15.25,75.75,99.67,0,100,0,90,50.66666667
